PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40673279,Sample Title for 40673279,2024-01-01,Dr. John Doe,Pfizer Inc.,john@pfizer.com
40673278,Sample Title for 40673278,2024-01-01,Dr. John Doe,Pfizer Inc.,john@pfizer.com
40673264,Sample Title for 40673264,2024-01-01,Dr. John Doe,Pfizer Inc.,john@pfizer.com
40673223,Sample Title for 40673223,2024-01-01,Dr. John Doe,Pfizer Inc.,john@pfizer.com
40673096,Sample Title for 40673096,2024-01-01,Dr. John Doe,Pfizer Inc.,john@pfizer.com
40673094,Sample Title for 40673094,2024-01-01,Dr. John Doe,Pfizer Inc.,john@pfizer.com
40673091,Sample Title for 40673091,2024-01-01,Dr. John Doe,Pfizer Inc.,john@pfizer.com
40673086,Sample Title for 40673086,2024-01-01,Dr. John Doe,Pfizer Inc.,john@pfizer.com
40673075,Sample Title for 40673075,2024-01-01,Dr. John Doe,Pfizer Inc.,john@pfizer.com
40673051,Sample Title for 40673051,2024-01-01,Dr. John Doe,Pfizer Inc.,john@pfizer.com
40673045,Sample Title for 40673045,2024-01-01,Dr. John Doe,Pfizer Inc.,john@pfizer.com
40673043,Sample Title for 40673043,2024-01-01,Dr. John Doe,Pfizer Inc.,john@pfizer.com
40673042,Sample Title for 40673042,2024-01-01,Dr. John Doe,Pfizer Inc.,john@pfizer.com
40672980,Sample Title for 40672980,2024-01-01,Dr. John Doe,Pfizer Inc.,john@pfizer.com
40672966,Sample Title for 40672966,2024-01-01,Dr. John Doe,Pfizer Inc.,john@pfizer.com
40672927,Sample Title for 40672927,2024-01-01,Dr. John Doe,Pfizer Inc.,john@pfizer.com
40672881,Sample Title for 40672881,2024-01-01,Dr. John Doe,Pfizer Inc.,john@pfizer.com
40672772,Sample Title for 40672772,2024-01-01,Dr. John Doe,Pfizer Inc.,john@pfizer.com
40672760,Sample Title for 40672760,2024-01-01,Dr. John Doe,Pfizer Inc.,john@pfizer.com
40672725,Sample Title for 40672725,2024-01-01,Dr. John Doe,Pfizer Inc.,john@pfizer.com
